date,total_confirmed,total_recovered,total_deceased,tested,daily_confirmed,daily_recovered,daily_deceased,active
2020-03-13,91,3,1,6500.0,10.0,0.0,1.0,87
2020-03-14,102,3,1,6500.0,11.0,0.0,0.0,95
2020-03-15,112,3,1,6500.0,10.0,0.0,0.0,105
2020-03-16,126,3,1,6500.0,14.0,0.0,0.0,119
2020-03-17,146,3,1,6500.0,20.0,0.0,0.0,139
2020-03-18,171,3,1,13125.0,25.0,0.0,0.0,164
2020-03-19,198,3,1,14175.0,27.0,0.0,0.0,191
2020-03-20,256,4,1,15404.0,58.0,1.0,0.0,248
2020-03-21,334,4,1,16911.0,78.0,0.0,0.0,326
2020-03-22,403,4,1,18127.0,69.0,0.0,0.0,395
2020-03-23,497,4,1,20707.0,94.0,0.0,0.0,489
2020-03-24,571,6,1,22694.0,74.0,2.0,0.0,561
2020-03-25,657,6,1,25144.0,86.0,0.0,0.0,647
2020-03-26,730,6,2,27688.0,73.0,0.0,1.0,719
2020-03-27,883,8,3,27688.0,153.0,2.0,1.0,869
2020-03-28,1019,8,3,27688.0,136.0,0.0,0.0,1005
2020-03-29,1139,99,28,27688.0,120.0,91.0,25.0,1009
2020-03-30,1326,141,41,38442.0,187.0,42.0,13.0,1141
2020-03-31,1635,160,47,42788.0,309.0,19.0,6.0,1425
2020-04-01,2059,169,58,47951.0,424.0,9.0,11.0,1829
2020-04-02,2545,191,69,55851.0,486.0,22.0,11.0,2282
2020-04-03,3105,230,83,69245.0,560.0,39.0,14.0,2789
2020-04-04,3684,286,96,79950.0,579.0,56.0,13.0,3299
2020-04-05,4293,329,118,89534.0,609.0,43.0,22.0,3843
2020-04-06,4777,394,134,101068.0,484.0,65.0,16.0,4246
2020-04-07,5350,469,161,114015.0,573.0,75.0,27.0,4717
2020-04-08,5915,565,181,127919.0,565.0,96.0,20.0,5166
2020-04-09,6728,635,227,144910.0,813.0,70.0,46.0,5863
2020-04-10,7599,786,249,161330.0,871.0,151.0,22.0,6561
2020-04-11,8453,972,290,179374.0,854.0,186.0,41.0,7188
2020-04-12,9211,1086,332,195748.0,758.0,114.0,42.0,7790
2020-04-13,10454,1198,359,217554.0,1243.0,112.0,27.0,8894
2020-04-14,11485,1365,396,244893.0,1031.0,167.0,37.0,9721
2020-04-15,12371,1509,423,274599.0,886.0,144.0,27.0,10436
2020-04-16,13432,1767,449,302956.0,1061.0,258.0,26.0,11213
2020-04-17,14354,2040,487,335123.0,922.0,273.0,38.0,11824
2020-04-18,15725,2466,522,372123.0,1371.0,426.0,35.0,12734
2020-04-19,17305,2854,560,401586.0,1580.0,388.0,38.0,13888
2020-04-20,18544,3273,593,401586.0,1239.0,419.0,33.0,14675
2020-04-21,20081,3976,646,462621.0,1537.0,703.0,53.0,15456
2020-04-22,21373,4370,682,500542.0,1292.0,394.0,36.0,16318
2020-04-23,23040,5012,722,541789.0,1667.0,642.0,40.0,17303
2020-04-24,24448,5496,781,579957.0,1408.0,484.0,59.0,18168
2020-04-25,26283,5938,825,625309.0,1835.0,442.0,44.0,19517
2020-04-26,27890,6523,881,665819.0,1607.0,585.0,56.0,20483
2020-04-27,29458,7103,939,716733.0,1568.0,580.0,58.0,21412
2020-04-28,31360,7739,1008,770764.0,1902.0,636.0,69.0,22609
2020-04-29,33065,8429,1079,830201.0,1705.0,690.0,71.0,23553
2020-04-30,34867,9059,1154,902654.0,1802.0,630.0,75.0,24650
2020-05-01,37263,10021,1231,976363.0,2396.0,962.0,77.0,26007
2020-05-02,39827,10852,1323,1046450.0,2564.0,831.0,92.0,27648
2020-05-03,42779,11763,1463,1107233.0,2952.0,911.0,140.0,29549
2020-05-04,46435,12845,1566,1191946.0,3656.0,1082.0,103.0,32020
2020-05-05,49406,14140,1694,1276781.0,2971.0,1295.0,128.0,33568
2020-05-06,53008,15301,1785,1357413.0,3602.0,1161.0,91.0,35918
2020-05-07,56352,16776,1889,1437788.0,3344.0,1475.0,104.0,37683
2020-05-08,59691,17887,1986,1523213.0,3339.0,1111.0,97.0,39814
2020-05-09,62866,19301,2102,1609037.0,3175.0,1414.0,116.0,41459
2020-05-10,67177,20970,2214,1673688.0,4311.0,1669.0,112.0,43989
2020-05-11,70769,22549,2295,1759579.0,3592.0,1579.0,81.0,45921
2020-05-12,74331,24454,2415,1854250.0,3562.0,1905.0,120.0,47458
2020-05-13,78057,26417,2552,1947041.0,3726.0,1963.0,137.0,49084
2020-05-14,82048,28011,2649,2039952.0,3991.0,1594.0,97.0,51384
2020-05-15,85856,30245,2753,2134277.0,3808.0,2234.0,104.0,52854
2020-05-16,90650,34257,2873,2227642.0,4794.0,4012.0,120.0,53516
2020-05-17,95699,36795,3025,2302792.0,5049.0,2538.0,152.0,55875
2020-05-18,100327,39277,3156,2404267.0,4628.0,2482.0,131.0,57890
2020-05-19,106481,42309,3302,2512388.0,6154.0,3032.0,146.0,60866
2020-05-20,112201,45422,3436,2615920.0,5720.0,3113.0,134.0,63336
2020-05-21,118224,48553,3584,2719434.0,6023.0,3131.0,148.0,66080
2020-05-22,124760,51833,3726,2834798.0,6536.0,3280.0,142.0,69194
2020-05-23,131425,54409,3868,2943421.0,6665.0,2576.0,142.0,73140
2020-05-24,138536,57694,4024,3033591.0,7111.0,3285.0,156.0,76809
2020-05-25,144950,60706,4173,3126119.0,6414.0,3012.0,149.0,80059
2020-05-26,150857,64291,4346,3242160.0,5907.0,3585.0,173.0,82208
2020-05-27,158103,67725,4534,3362136.0,7246.0,3434.0,188.0,85832
2020-05-28,165357,70896,4710,3483838.0,7254.0,3171.0,176.0,89739
2020-05-29,173495,82631,4978,3611599.0,8138.0,11735.0,268.0,85873
2020-05-30,181859,86934,5183,3737027.0,8364.0,4303.0,205.0,89729
2020-05-31,190648,91862,5405,3837207.0,8789.0,4928.0,222.0,93368
2020-06-01,198372,95744,5606,3966075.0,7724.0,3882.0,201.0,97009
2020-06-02,207184,100275,5828,4103233.0,8812.0,4531.0,222.0,101068
2020-06-03,216872,104064,6087,4242718.0,9688.0,3789.0,259.0,106705
2020-06-04,226719,108454,6361,4386379.0,9847.0,4390.0,274.0,111887
2020-06-05,236191,113225,6647,4524317.0,9472.0,4771.0,286.0,116303
2020-06-06,246599,118658,6944,4666386.0,10408.0,5433.0,297.0,120979
2020-06-07,257481,123849,7205,4774434.0,10882.0,5191.0,261.0,126409
2020-06-08,266017,129020,7476,4916116.0,8536.0,5171.0,271.0,129501
2020-06-09,275998,134654,7748,5061332.0,9981.0,5634.0,272.0,133576
2020-06-10,287154,140929,8106,5213140.0,11156.0,6275.0,358.0,138099
2020-06-11,298289,146973,8500,5363445.0,11135.0,6044.0,394.0,142789
2020-06-12,309595,154236,8888,5507182.0,11306.0,7263.0,388.0,146444
2020-06-13,321634,162327,9197,5658614.0,12039.0,8091.0,309.0,150069
2020-06-14,333038,169685,9521,5774133.0,11404.0,7358.0,324.0,153789
2020-06-15,343070,180325,9917,5921069.0,10032.0,10640.0,396.0,152783
2020-06-16,354155,187551,11921,6084256.0,11085.0,7226.0,2004.0,154637
2020-06-17,367263,194441,12262,6249668.0,13108.0,6890.0,341.0,160514
2020-06-18,381092,205182,12605,6426627.0,13829.0,10741.0,343.0,163258
2020-06-19,395832,214211,12969,6616496.0,14740.0,9029.0,364.0,168601
2020-06-20,411750,228185,13277,6807226.0,15918.0,13974.0,308.0,170236
2020-06-21,426901,237260,13703,6950493.0,15151.0,9075.0,426.0,175886
2020-06-22,440461,248139,14015,7137716.0,13560.0,10879.0,312.0,178255
2020-06-23,456117,258601,14483,7352911.0,15656.0,10462.0,468.0,182977
2020-06-24,472985,271690,14907,7560782.0,16868.0,13089.0,424.0,186332
2020-06-25,491190,285673,15308,7776228.0,18205.0,13983.0,401.0,190153
2020-06-26,509445,295919,15689,7996707.0,18255.0,10246.0,381.0,197780
2020-06-27,529587,310148,16103,8227802.0,20142.0,14229.0,414.0,203279
2020-06-28,549197,321779,16487,8398362.0,19610.0,11631.0,384.0,210874
2020-06-29,567536,335276,16904,8608654.0,18339.0,13497.0,417.0,215295
2020-06-30,585791,347841,17410,8826585.0,18255.0,12565.0,506.0,220473
2020-07-01,605221,359905,17848,9056173.0,19430.0,12064.0,438.0,227401
2020-07-02,627168,379904,18226,9297749.0,21947.0,19999.0,378.0,228971
2020-07-03,649886,394321,18670,9540132.0,22718.0,14417.0,444.0,236828
2020-07-04,673904,409067,19281,9789066.0,24018.0,14746.0,611.0,245489
2020-07-05,697846,424896,19702,9969662.0,23942.0,15829.0,421.0,253164
2020-07-06,720346,440211,20175,10211092.0,22500.0,15315.0,473.0,259863
2020-07-07,743494,457049,20654,10473771.0,23148.0,16838.0,479.0,265692
2020-07-08,769055,476557,21146,10740832.0,25561.0,19508.0,492.0,271252
2020-07-09,794845,495965,21625,11024491.0,25790.0,19408.0,479.0,277154
2020-07-10,822594,516254,22145,11307002.0,27749.0,20289.0,520.0,283830
2020-07-11,850348,536235,22686,11587153.0,27754.0,19981.0,541.0,291056
2020-07-12,879454,554433,23183,11806256.0,29106.0,18198.0,497.0,301467
2020-07-13,907632,572116,23724,12092503.0,28178.0,17683.0,541.0,311419
2020-07-14,937549,593092,24306,12412664.0,29917.0,20976.0,582.0,319771
2020-07-15,970156,613738,24920,12739490.0,32607.0,20646.0,614.0,331118
2020-07-16,1005624,636605,25600,13072718.0,35468.0,22867.0,680.0,343038
2020-07-17,1040448,654091,26276,13433742.0,34824.0,17486.0,676.0,359697
2020-07-18,1077859,677673,26819,13791869.0,37411.0,23582.0,543.0,372977
2020-07-19,1118094,700403,27494,14047908.0,40235.0,22730.0,675.0,389804
2020-07-20,1154900,724706,28090,14381303.0,36806.0,24303.0,596.0,401709
2020-07-21,1194070,752295,28761,14724546.0,39170.0,27589.0,671.0,412618
2020-07-22,1239671,784170,29891,15075369.0,45601.0,31875.0,1130.0,425207
2020-07-23,1288114,817496,30646,15428170.0,48443.0,33326.0,755.0,439568
2020-07-24,1337002,850010,31409,15849068.0,48888.0,32514.0,763.0,455177
2020-07-25,1387074,887135,32112,16291331.0,50072.0,37125.0,703.0,467421
2020-07-26,1436006,918647,32816,16806803.0,48932.0,31512.0,704.0,484136
2020-07-27,1482490,953001,33458,17334885.0,46484.0,34354.0,642.0,495622
2020-07-28,1532121,988684,34232,17743740.0,49631.0,35683.0,774.0,508795
2020-07-29,1584600,1021570,35007,18190382.0,52479.0,32886.0,775.0,527612
2020-07-30,1639568,1058995,35791,18832970.0,54968.0,37425.0,784.0,544364
2020-07-31,1697054,1095549,36556,19358659.0,57486.0,36554.0,765.0,564528
2020-08-01,1752171,1146917,37410,19821831.0,55117.0,51368.0,854.0,567417
2020-08-02,1804843,1187272,38170,20202858.0,52672.0,40355.0,760.0,578972
2020-08-03,1855332,1230342,38976,20864750.0,50489.0,43070.0,806.0,585581
2020-08-04,1906614,1281562,39825,21484402.0,51282.0,51220.0,849.0,584782
2020-08-05,1963240,1327145,40744,22149351.0,56626.0,45583.0,919.0,594905
2020-08-06,2025410,1377286,41643,22788393.0,62170.0,50141.0,899.0,606031
2020-08-07,2086865,1427673,42579,23387171.0,61455.0,50387.0,936.0,616161
2020-08-08,2152021,1479808,43454,24106535.0,65156.0,52135.0,875.0,628302
2020-08-09,2214138,1534282,44467,24583558.0,62117.0,54474.0,1013.0,634929
2020-08-10,2267154,1581644,45354,25281848.0,53016.0,47362.0,887.0,639693
2020-08-11,2328406,1638105,46189,26015297.0,61252.0,56461.0,835.0,643643
2020-08-12,2395472,1695864,47139,26845688.0,67066.0,57759.0,950.0,651997
2020-08-13,2459613,1750640,48145,27694416.0,64141.0,54776.0,1006.0,660344
2020-08-14,2525223,1807560,49134,28563095.0,65610.0,56920.0,989.0,668041
2020-08-15,2589209,1860676,50086,29309703.0,63986.0,53116.0,952.0,677955
2020-08-16,2647305,1918080,51038,30041400.0,58096.0,57404.0,952.0,677677
2020-08-17,2701603,1976252,51918,30941264.0,54298.0,58172.0,880.0,672921
2020-08-18,2766627,2036707,53017,31742782.0,65024.0,60455.0,1099.0,676381
2020-08-19,2835823,2096072,53996,32661252.0,69196.0,59365.0,979.0,685228
2020-08-20,2904341,2157945,54977,33467237.0,68518.0,61873.0,981.0,690892
2020-08-21,2973370,2220803,55930,34491073.0,69029.0,62858.0,953.0,696096
2020-08-22,3043437,2279904,56848,35292220.0,70067.0,59101.0,918.0,706136
2020-08-23,3105186,2336800,57694,35902137.0,61749.0,56896.0,846.0,710141
2020-08-24,3164882,2403105,58548,36827520.0,59696.0,66305.0,854.0,702667
2020-08-25,3231755,2467256,59614,37651512.0,66873.0,64151.0,1066.0,704320
2020-08-26,3307750,2523447,60631,38576510.0,75995.0,56191.0,1017.0,723102
2020-08-27,3384577,2583067,61697,39477848.0,76827.0,59620.0,1066.0,739246
2020-08-28,3461234,2647542,62716,40406609.0,76657.0,64475.0,1019.0,750398
2020-08-29,3539713,2712524,63659,41461636.0,78479.0,64982.0,943.0,762946
2020-08-30,3619174,2772946,64619,42307914.0,79461.0,60422.0,960.0,781027
2020-08-31,3687940,2837381,65435,43324834.0,68766.0,64435.0,816.0,784539
2020-09-01,3766108,2899528,66462,44337201.0,78168.0,62147.0,1027.0,799530
2020-09-02,3848973,2967404,67488,45509380.0,82865.0,67876.0,1026.0,813488
2020-09-03,3933132,3034914,68571,46679145.0,84159.0,67510.0,1083.0,829047
2020-09-04,4020239,3104518,69637,47738491.0,87107.0,69604.0,1066.0,845473
2020-09-05,4110845,3177683,70681,48831145.0,90606.0,73165.0,1044.0,861865
2020-09-06,4202570,3247313,71686,49551507.0,91725.0,69630.0,1005.0,882952
2020-09-07,4277585,3321429,72815,50650128.0,75015.0,74116.0,1129.0,882749
2020-09-08,4367440,3396037,73922,51804677.0,89855.0,74608.0,1107.0,896884
2020-09-09,4462976,3469099,75090,52934433.0,95536.0,73062.0,1168.0,918190
2020-09-10,4559738,3540003,76303,54097975.0,96762.0,70904.0,1213.0,942800
2020-09-11,4657393,3621459,77505,55189226.0,97655.0,81456.0,1202.0,957792
2020-09-12,4751807,3699321,78616,56260928.0,94414.0,77862.0,1111.0,973213
2020-09-13,4845027,3777069,79756,57239428.0,93220.0,77748.0,1140.0,987535
2020-09-14,4926936,3856277,80810,58312273.0,81909.0,79208.0,1054.0,989165
2020-09-15,5018033,3939131,82091,59429115.0,91097.0,82854.0,1281.0,996102
2020-09-16,5115893,4022055,83231,60565728.0,97860.0,82924.0,1140.0,1009883
2020-09-17,5212680,4109843,84406,61572343.0,96787.0,87788.0,1175.0,1017703
2020-09-18,5305653,4205358,85627,62454254.0,92973.0,95515.0,1221.0,1013931
2020-09-19,5398227,4299747,86776,63661060.0,92574.0,94389.0,1149.0,1010954
2020-09-20,5485622,4392673,87911,64392594.0,87395.0,92926.0,1135.0,1004264
2020-09-21,5560115,4494748,88967,65325779.0,74493.0,102075.0,1056.0,975611
2020-09-22,5643477,4584405,90052,66279462.0,83362.0,89657.0,1085.0,968221
2020-09-23,5730180,4671864,91175,67436031.0,86703.0,87459.0,1123.0,966331
2020-09-24,5816101,4753006,92319,68928440.0,85921.0,81142.0,1144.0,969961
2020-09-25,5901818,4846337,93412,70269975.0,85717.0,93331.0,1093.0,961245
2020-09-26,5990577,4938702,94536,71257836.0,88759.0,92365.0,1124.0,956500
2020-09-27,6073347,5013393,95576,71967230.0,82770.0,74691.0,1040.0,963529
2020-09-28,6143016,5098591,96351,73110041.0,69669.0,85198.0,775.0,947220
2020-09-29,6223516,5184741,97529,74196729.0,80500.0,86150.0,1178.0,940372
2020-09-30,6310264,5270015,98708,75619781.0,86748.0,85274.0,1179.0,940641
2020-10-01,6392049,5348746,99807,76717728.0,81785.0,78731.0,1099.0,942587
2020-10-02,6471934,5425086,100875,77850403.0,79885.0,76340.0,1068.0,945059
2020-10-03,6547413,5506741,101812,78992534.0,75479.0,81655.0,937.0,937943
2020-10-04,6622183,5583456,102715,79982394.0,74770.0,76715.0,903.0,935083
2020-10-05,6682313,5659313,103601,81071797.0,60130.0,75857.0,886.0,918464
2020-10-06,6754182,5741258,104591,82271654.0,71869.0,81945.0,990.0,907379
2020-10-07,6832991,5824468,105554,83465975.0,78809.0,83210.0,963.0,901924
2020-10-08,6903789,5903213,106521,84634680.0,70798.0,78745.0,967.0,893015
2020-10-09,6977094,5985841,107450,85798698.0,73305.0,82628.0,929.0,882747
2020-10-10,7051512,6074865,108371,86877242.0,74418.0,89024.0,921.0,867210
2020-10-11,7119301,6146430,109184,87872093.0,67789.0,71565.0,813.0,862609
2020-10-12,7173563,6224795,109894,88945107.0,54262.0,78365.0,710.0,837779
2020-10-13,7237280,6298874,110621,90090122.0,63717.0,74079.0,727.0,826676
2020-10-14,7305091,6380456,111311,91226305.0,67811.0,81582.0,690.0,812190
2020-10-15,7368532,6451248,112193,92254927.0,63441.0,70792.0,882.0,803910
2020-10-16,7430836,6521816,113033,93254017.0,62304.0,70568.0,840.0,794792
2020-10-17,7492729,6594399,114065,94224190.0,61893.0,72583.0,1032.0,783063
2020-10-18,7549248,6660817,114647,95083976.0,56519.0,66418.0,582.0,772555
2020-10-19,7594754,6730617,115236,96116771.0,45506.0,69800.0,589.0,747639
2020-10-20,7649102,6792445,115950,97200379.0,54348.0,61828.0,714.0,739425
2020-10-21,7705366,6872006,116651,98670363.0,56264.0,79561.0,701.0,715422
2020-10-22,7759737,6946575,117337,100113085.0,54371.0,74569.0,686.0,694524
2020-10-23,7813668,7013569,117992,101382564.0,53931.0,66994.0,655.0,680801
2020-10-24,7864034,7075839,118570,102523469.0,50366.0,62270.0,578.0,668293
2020-10-25,7909956,7135143,119053,103462778.0,45922.0,59304.0,483.0,654405
2020-10-26,7946060,7199016,119544,104420894.0,36104.0,63873.0,491.0,626134
2020-10-27,7989096,7257445,120055,105487680.0,43036.0,58429.0,511.0,610234
2020-10-28,8039284,7314039,120570,106563440.0,50188.0,56594.0,515.0,603282
2020-10-29,8088049,7371906,121132,107728088.0,48765.0,57867.0,562.0,593611
2020-10-30,8136166,7430911,121682,108796064.0,48117.0,59005.0,550.0,582150
2020-10-31,8183394,7489593,122151,109887303.0,47228.0,58682.0,469.0,570222
2020-11-01,8229322,7542905,122642,110743103.0,45928.0,53312.0,491.0,562329
2020-11-02,8266914,7601429,123140,111789350.0,37592.0,58524.0,498.0,540882
2020-11-03,8312941,7654757,123650,112998959.0,46027.0,53328.0,510.0,533019
2020-11-04,8363406,7710630,124357,114208384.0,50465.0,55873.0,707.0,526794
2020-11-05,8411034,7764763,125029,115429095.0,47628.0,54133.0,672.0,519501
2020-11-06,8461393,7818755,125606,116542304.0,50359.0,53992.0,577.0,515213
2020-11-07,8507204,7867291,126163,117736791.0,45811.0,48536.0,557.0,511921
2020-11-08,8553911,7915756,126653,118572192.0,46707.0,48465.0,490.0,509658
2020-11-09,8591030,7957205,127103,119615857.0,37119.0,41449.0,450.0,504871
2020-11-10,8635754,8011844,127614,120769151.0,44724.0,54639.0,511.0,494414
2020-11-11,8684039,8064548,128164,121962509.0,48285.0,52704.0,550.0,489426
2020-11-12,8728623,8113902,128708,123101739.0,44584.0,49354.0,544.0,484095
2020-11-13,8773243,8161522,129225,124031230.0,44620.0,47620.0,517.0,480559
2020-11-14,8814935,8203839,129675,124836819.0,41692.0,42317.0,450.0,479459
2020-11-15,8845616,8247950,130109,125698525.0,30681.0,44111.0,434.0,465577
2020-11-16,8874225,8288342,130560,126542907.0,28609.0,40392.0,451.0,453325
2020-11-17,8912773,8333095,131032,127480186.0,38548.0,44753.0,472.0,446640
2020-11-18,8958139,8381770,131618,128508389.0,45366.0,48675.0,586.0,442731
