Region,Total Confirmed,Total Recovered,Total Deceased,Total Tested,Active,Daily Confirmed,Daily Recovered,Daily Deceased,Daily Tested,TRR,TPR,CFR,Month,Weekday
India,102,3,1,6500,95,11,0,0,0.0,2.94,1.57,0.98,3,5
India,112,3,1,6500,105,10,0,0,0.0,2.68,1.72,0.89,3,6
India,126,3,1,6500,119,14,0,0,0.0,2.38,1.94,0.79,3,0
India,146,3,1,6500,139,20,0,0,0.0,2.05,2.25,0.68,3,1
India,171,3,1,13125,164,25,0,0,6625.0,1.75,1.3,0.58,3,2
India,198,3,1,14175,191,27,0,0,1050.0,1.52,1.4,0.51,3,3
India,256,4,1,15404,248,58,1,0,1229.0,1.56,1.66,0.39,3,4
India,334,4,1,16911,326,78,0,0,1507.0,1.2,1.98,0.3,3,5
India,403,4,1,18127,395,69,0,0,1216.0,0.99,2.22,0.25,3,6
India,497,4,1,20707,489,94,0,0,2580.0,0.8,2.4,0.2,3,0
India,571,6,1,22694,561,74,2,0,1987.0,1.05,2.52,0.18,3,1
India,657,6,1,25144,647,86,0,0,2450.0,0.91,2.61,0.15,3,2
India,730,6,2,27688,719,73,0,1,2544.0,0.82,2.64,0.27,3,3
India,883,8,3,27688,869,153,2,1,0.0,0.91,3.19,0.34,3,4
India,1019,8,3,27688,1005,136,0,0,0.0,0.79,3.68,0.29,3,5
India,1139,99,28,27688,1009,120,91,25,0.0,8.69,4.11,2.46,3,6
India,1326,141,41,38442,1141,187,42,13,10754.0,10.63,3.45,3.09,3,0
India,1635,160,47,42788,1425,309,19,6,4346.0,9.79,3.82,2.87,3,1
India,2059,169,58,47951,1829,424,9,11,5163.0,8.21,4.29,2.82,4,2
India,2545,191,69,55851,2282,486,22,11,7900.0,7.5,4.56,2.71,4,3
India,3105,230,83,69245,2789,560,39,14,13394.0,7.41,4.48,2.67,4,4
India,3684,286,96,79950,3299,579,56,13,10705.0,7.76,4.61,2.61,4,5
India,4293,329,118,89534,3843,609,43,22,9584.0,7.66,4.79,2.75,4,6
India,4777,394,134,101068,4246,484,65,16,11534.0,8.25,4.73,2.81,4,0
India,5350,469,161,114015,4717,573,75,27,12947.0,8.77,4.69,3.01,4,1
India,5915,565,181,127919,5166,565,96,20,13904.0,9.55,4.62,3.06,4,2
India,6728,635,227,144910,5863,813,70,46,16991.0,9.44,4.64,3.37,4,3
India,7599,786,249,161330,6561,871,151,22,16420.0,10.34,4.71,3.28,4,4
India,8453,972,290,179374,7188,854,186,41,18044.0,11.5,4.71,3.43,4,5
India,9211,1086,332,195748,7790,758,114,42,16374.0,11.79,4.71,3.6,4,6
India,10454,1198,359,217554,8894,1243,112,27,21806.0,11.46,4.81,3.43,4,0
India,11485,1365,396,244893,9721,1031,167,37,27339.0,11.89,4.69,3.45,4,1
India,12371,1509,423,274599,10436,886,144,27,29706.0,12.2,4.51,3.42,4,2
India,13432,1767,449,302956,11213,1061,258,26,28357.0,13.16,4.43,3.34,4,3
India,14354,2040,487,335123,11824,922,273,38,32167.0,14.21,4.28,3.39,4,4
India,15725,2466,522,372123,12734,1371,426,35,37000.0,15.68,4.23,3.32,4,5
India,17305,2854,560,401586,13888,1580,388,38,29463.0,16.49,4.31,3.24,4,6
India,18544,3273,593,401586,14675,1239,419,33,0.0,17.65,4.62,3.2,4,0
India,20081,3976,646,462621,15456,1537,703,53,61035.0,19.8,4.34,3.22,4,1
India,21373,4370,682,500542,16318,1292,394,36,37921.0,20.45,4.27,3.19,4,2
India,23040,5012,722,541789,17303,1667,642,40,41247.0,21.75,4.25,3.13,4,3
India,24448,5496,781,579957,18168,1408,484,59,38168.0,22.48,4.22,3.19,4,4
India,26283,5938,825,625309,19517,1835,442,44,45352.0,22.59,4.2,3.14,4,5
India,27890,6523,881,665819,20483,1607,585,56,40510.0,23.39,4.19,3.16,4,6
India,29458,7103,939,716733,21412,1568,580,58,50914.0,24.11,4.11,3.19,4,0
India,31360,7739,1008,770764,22609,1902,636,69,54031.0,24.68,4.07,3.21,4,1
India,33065,8429,1079,830201,23553,1705,690,71,59437.0,25.49,3.98,3.26,4,2
India,34867,9059,1154,902654,24650,1802,630,75,72453.0,25.98,3.86,3.31,4,3
India,37263,10021,1231,976363,26007,2396,962,77,73709.0,26.89,3.82,3.3,5,4
India,39827,10852,1323,1046450,27648,2564,831,92,70087.0,27.25,3.81,3.32,5,5
India,42779,11763,1463,1107233,29549,2952,911,140,60783.0,27.5,3.86,3.42,5,6
India,46435,12845,1566,1191946,32020,3656,1082,103,84713.0,27.66,3.9,3.37,5,0
India,49406,14140,1694,1276781,33568,2971,1295,128,84835.0,28.62,3.87,3.43,5,1
India,53008,15301,1785,1357413,35918,3602,1161,91,80632.0,28.87,3.91,3.37,5,2
India,56352,16776,1889,1437788,37683,3344,1475,104,80375.0,29.77,3.92,3.35,5,3
India,59691,17887,1986,1523213,39814,3339,1111,97,85425.0,29.97,3.92,3.33,5,4
India,62866,19301,2102,1609037,41459,3175,1414,116,85824.0,30.7,3.91,3.34,5,5
India,67177,20970,2214,1673688,43989,4311,1669,112,64651.0,31.22,4.01,3.3,5,6
India,70769,22549,2295,1759579,45921,3592,1579,81,85891.0,31.86,4.02,3.24,5,0
India,74331,24454,2415,1854250,47458,3562,1905,120,94671.0,32.9,4.01,3.25,5,1
India,78057,26417,2552,1947041,49084,3726,1963,137,92791.0,33.84,4.01,3.27,5,2
India,82048,28011,2649,2039952,51384,3991,1594,97,92911.0,34.14,4.02,3.23,5,3
India,85856,30245,2753,2134277,52854,3808,2234,104,94325.0,35.23,4.02,3.21,5,4
India,90650,34257,2873,2227642,53516,4794,4012,120,93365.0,37.79,4.07,3.17,5,5
India,95699,36795,3025,2302792,55875,5049,2538,152,75150.0,38.45,4.16,3.16,5,6
